################
### Dynasty dynasty_adarfiruzen
################

lineofadarfiruzen1 = {
	name = Ramisht
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarfiruzen

	sexuality = heterosexual

	diplomacy = 2
	martial = 7
	stewardship = 3
	intrigue = 4
	learning = 3
	prowess = 4

	trait = stubborn
	trait = cynical
	trait = patient
	trait = education_martial_2

	6614.04.05 = {
	    birth = yes
	}
	6632.11.12 = {  # Married at age 18
	    add_spouse = lineofadarfiruzen2
	}
	6717.03.11 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarfiruzen2 = {
	name = Tanaz
	female = yes
	culture = clyan
	religion = faith_tilanik

	sexuality = heterosexual

	diplomacy = 1
	martial = 3
	stewardship = 5
	intrigue = 4
	learning = 8
	prowess = 5

	trait = wrathful
	trait = arrogant
	trait = ambitious
	trait = education_martial_2

	6614.09.28 = {
	    birth = yes
	}
	6697.06.17 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarfiruzen3 = {
	name = Aurashaspa
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarfiruzen
	father = lineofadarfiruzen1
	mother = lineofadarfiruzen2

	sexuality = heterosexual

	diplomacy = 5
	martial = 2
	stewardship = 3
	intrigue = 3
	learning = 7
	prowess = 4

	trait = craven
	trait = shy
	trait = content
	trait = education_stewardship_3

	6633.11.19 = {
	    birth = yes
	}
	6717.04.23 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarfiruzen4 = {
	name = Khudadad
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarfiruzen
	father = lineofadarfiruzen1
	mother = lineofadarfiruzen2

	sexuality = heterosexual

	diplomacy = 4
	martial = 6
	stewardship = 5
	intrigue = 6
	learning = 6
	prowess = 3

	trait = vengeful
	trait = wrathful
	trait = gregarious
	trait = education_intrigue_4

	6634.10.07 = {
	    birth = yes
	}
	6723.06.26 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarfiruzen5 = {
	name = Dadfaruk
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarfiruzen
	father = lineofadarfiruzen1
	mother = lineofadarfiruzen2

	sexuality = heterosexual

	diplomacy = 2
	martial = 1
	stewardship = 5
	intrigue = 4
	learning = 9
	prowess = 6

	trait = arrogant
	trait = cynical
	trait = paranoid
	trait = education_learning_3

	6635.07.23 = {
	    birth = yes
	}
	6723.09.15 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarfiruzen6 = {
	name = Pirangushnasp
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarfiruzen
	father = lineofadarfiruzen5

	sexuality = heterosexual

	diplomacy = 4
	martial = 1
	stewardship = 6
	intrigue = 3
	learning = 3
	prowess = 4

	trait = bastard

	trait = fickle
	trait = cynical
	trait = chaste
	trait = education_stewardship_4

	6651.03.07 = {
	    birth = yes
	}
	6735.06.11 = {  
	    death = { death_reason = death_natural_causes }
	}
}

################
### Dynasty dynasty_adarsharzen
################

lineofadarsharzen1 = {
	name = Zaosh
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarsharzen

	sexuality = heterosexual

	diplomacy = 3
	martial = 1
	stewardship = 5
	intrigue = 1
	learning = 2
	prowess = 3

	trait = vengeful
	trait = fickle
	trait = shy
	trait = education_learning_3

	6130.05.28 = {
	    birth = yes
	}
	6148.08.27 = {  # Married at age 18
	    add_spouse = lineofadarsharzen2
	}
	6222.02.27 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarsharzen2 = {
	name = Simin
	female = yes
	culture = clyan
	religion = faith_tilanik

	sexuality = heterosexual

	diplomacy = 5
	martial = 1
	stewardship = 4
	intrigue = 5
	learning = 6
	prowess = 2

	trait = wrathful
	trait = stubborn
	trait = trusting
	trait = education_stewardship_2

	6130.05.25 = {
	    birth = yes
	}
	6222.12.28 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarsharzen3 = {
	name = Habub
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarsharzen
	father = lineofadarsharzen1
	mother = lineofadarsharzen2

	sexuality = heterosexual

	diplomacy = 3
	martial = 3
	stewardship = 9
	intrigue = 3
	learning = 2
	prowess = 1

	trait = brave
	trait = humble
	trait = wrathful
	trait = education_martial_4

	6149.06.08 = {
	    birth = yes
	}
	6168.07.24 = {  # Married at age 19
	    add_spouse = lineofbahraman9
	}
	6247.07.19 = {  
	    death = { death_reason = death_natural_causes }
	}
}

lineofadarsharzen4 = {
	name = Mahbanu
	female = yes
	culture = clyan
	religion = faith_tilanik

	dynasty = dynasty_adarsharzen
	father = lineofadarsharzen1
	mother = lineofadarsharzen2

	sexuality = heterosexual

	diplomacy = 7
	martial = 4
	stewardship = 7
	intrigue = 2
	learning = 4
	prowess = 5

	trait = generous
	trait = forgiving
	trait = paranoid
	trait = education_stewardship_2

	6150.05.25 = {
	    birth = yes
	}
	6229.05.01 = {  
	    death = { death_reason = death_natural_causes }
	}
}

